model_name,model_url,model_task,model_category
tensorspeech/tts-mb_melgan-baker-ch,https://huggingface.co/tensorspeech/tts-mb_melgan-baker-ch,text-to-speech,audio
tensorspeech/tts-mb_melgan-kss-ko,https://huggingface.co/tensorspeech/tts-mb_melgan-kss-ko,text-to-speech,audio
tensorspeech/tts-mb_melgan-ljspeech-en,https://huggingface.co/tensorspeech/tts-mb_melgan-ljspeech-en,text-to-speech,audio
tensorspeech/tts-mb_melgan-synpaflex-fr,https://huggingface.co/tensorspeech/tts-mb_melgan-synpaflex-fr,text-to-speech,audio
tensorspeech/tts-mb_melgan-thorsten-ger,https://huggingface.co/tensorspeech/tts-mb_melgan-thorsten-ger,text-to-speech,audio
tensorspeech/tts-melgan-ljspeech-en,https://huggingface.co/tensorspeech/tts-melgan-ljspeech-en,text-to-speech,audio
tensorspeech/tts-tacotron2-baker-ch,https://huggingface.co/tensorspeech/tts-tacotron2-baker-ch,text-to-speech,audio
tensorspeech/tts-tacotron2-kss-ko,https://huggingface.co/tensorspeech/tts-tacotron2-kss-ko,text-to-speech,audio
tensorspeech/tts-tacotron2-ljspeech-en,https://huggingface.co/tensorspeech/tts-tacotron2-ljspeech-en,text-to-speech,audio
tensorspeech/tts-tacotron2-synpaflex-fr,https://huggingface.co/tensorspeech/tts-tacotron2-synpaflex-fr,text-to-speech,audio
tensorspeech/tts-tacotron2-thorsten-ger,https://huggingface.co/tensorspeech/tts-tacotron2-thorsten-ger,text-to-speech,audio
testorg2/fastai_cat_vs_dog_fork_3,https://huggingface.co/testorg2/fastai_cat_vs_dog_fork_3,image-classification,computer-vision
tftransformers/t5-base,https://huggingface.co/tftransformers/t5-base,translation,natural-language-processing
tftransformers/t5-large,https://huggingface.co/tftransformers/t5-large,translation,natural-language-processing
tftransformers/t5-small,https://huggingface.co/tftransformers/t5-small,translation,natural-language-processing
thatoneguy267/DialoGPT-small-Oscar,https://huggingface.co/thatoneguy267/DialoGPT-small-Oscar,conversational,natural-language-processing
thatoneguy267/bruhpleasehelpme,https://huggingface.co/thatoneguy267/bruhpleasehelpme,conversational,natural-language-processing
thu-coai/CDial-GPT2_LCCC-base,https://huggingface.co/thu-coai/CDial-GPT2_LCCC-base,conversational,natural-language-processing
thu-coai/CDial-GPT_LCCC-base,https://huggingface.co/thu-coai/CDial-GPT_LCCC-base,conversational,natural-language-processing
thu-coai/CDial-GPT_LCCC-large,https://huggingface.co/thu-coai/CDial-GPT_LCCC-large,conversational,natural-language-processing
timm/eca_nfnet_l0,https://huggingface.co/timm/eca_nfnet_l0,image-classification,computer-vision
timm/vit_huge_patch14_224_in21k,https://huggingface.co/timm/vit_huge_patch14_224_in21k,image-classification,computer-vision
tmagajna/test,https://huggingface.co/tmagajna/test,token-classification,natural-language-processing
tnl/nccid-test,https://huggingface.co/tnl/nccid-test,image-classification,computer-vision
training-transformers-together/dalle-demo-v1,https://huggingface.co/training-transformers-together/dalle-demo-v1,text-to-image,multimodal
transfaeries/DialoGPT-Discord,https://huggingface.co/transfaeries/DialoGPT-Discord,conversational,natural-language-processing
ucberkeley-dlab/hate-measure-roberta-large,https://huggingface.co/ucberkeley-dlab/hate-measure-roberta-large,text-classification,natural-language-processing
usernamtadejm/flairbookmodel1234,https://huggingface.co/usernamtadejm/flairbookmodel1234,token-classification,natural-language-processing
valurank/en_pos_counter,https://huggingface.co/valurank/en_pos_counter,text-classification,natural-language-processing
valurank/en_readability,https://huggingface.co/valurank/en_readability,text-classification,natural-language-processing
vijote/DialoGPT-small-Morty,https://huggingface.co/vijote/DialoGPT-small-Morty,conversational,natural-language-processing
vsalamand/fr_ner_ingredients,https://huggingface.co/vsalamand/fr_ner_ingredients,token-classification,natural-language-processing
vsalamand/fr_pipeline,https://huggingface.co/vsalamand/fr_pipeline,token-classification,natural-language-processing
xiaj/test,https://huggingface.co/xiaj/test,translation,natural-language-processing
yahya1994/DialoGPT-small-Ryuk,https://huggingface.co/yahya1994/DialoGPT-small-Ryuk,conversational,natural-language-processing
yechen/bert-base-chinese,https://huggingface.co/yechen/bert-base-chinese,fill-mask,natural-language-processing
yiyanghkust/finbert-pretrain,https://huggingface.co/yiyanghkust/finbert-pretrain,fill-mask,natural-language-processing
yiyanghkust/finbert-tone,https://huggingface.co/yiyanghkust/finbert-tone,text-classification,natural-language-processing
yseop/distilbert-base-financial-relation-extraction,https://huggingface.co/yseop/distilbert-base-financial-relation-extraction,text-classification,natural-language-processing
z-uo/glowtts-female-it,https://huggingface.co/z-uo/glowtts-female-it,text-to-speech,audio
z-uo/glowtts-male-it,https://huggingface.co/z-uo/glowtts-male-it,text-to-speech,audio
z-uo/vits-female-it,https://huggingface.co/z-uo/vits-female-it,text-to-speech,audio
z-uo/vits-male-it,https://huggingface.co/z-uo/vits-male-it,text-to-speech,audio
Grungle/DialoGPT-medium-butters,https://huggingface.co/Grungle/DialoGPT-medium-butters,conversational,natural-language-processing
Johnson-Lsx/Shaoxiong_Lin_dns_ins20_enh_enh_train_enh_dccrn_raw,https://huggingface.co/Johnson-Lsx/Shaoxiong_Lin_dns_ins20_enh_enh_train_enh_dccrn_raw,audio-to-audio,audio
Grungle/DialoGPT-medium-butters2,https://huggingface.co/Grungle/DialoGPT-medium-butters2,conversational,natural-language-processing
espnet/YushiUeda_iemocap_sentiment_asr_train_asr_conformer_wav2vec2,https://huggingface.co/espnet/YushiUeda_iemocap_sentiment_asr_train_asr_conformer_wav2vec2,automatic-speech-recognition,audio
Yulinfeng/wsj0_2mix_enh_train_enh_dpcl_raw_valid.si_snr.ave,https://huggingface.co/Yulinfeng/wsj0_2mix_enh_train_enh_dpcl_raw_valid.si_snr.ave,audio-to-audio,audio
Yulinfeng/wsj0_2mix_enh_train_enh_dan_tf_raw_valid.si_snr.ave,https://huggingface.co/Yulinfeng/wsj0_2mix_enh_train_enh_dan_tf_raw_valid.si_snr.ave,audio-to-audio,audio
Yulinfeng/wsj0_2mix_enh_train_enh_mdc_raw_valid.si_snr.ave,https://huggingface.co/Yulinfeng/wsj0_2mix_enh_train_enh_mdc_raw_valid.si_snr.ave,audio-to-audio,audio
espnet/YushiUeda_swbd_sentiment_asr_train_asr_conformer,https://huggingface.co/espnet/YushiUeda_swbd_sentiment_asr_train_asr_conformer,automatic-speech-recognition,audio
espnet/YushiUeda_swbd_sentiment_asr_train_asr_conformer_wav2vec2,https://huggingface.co/espnet/YushiUeda_swbd_sentiment_asr_train_asr_conformer_wav2vec2,automatic-speech-recognition,audio
Britain/DialoGPT-small-DanyBotThreeFixed,https://huggingface.co/Britain/DialoGPT-small-DanyBotThreeFixed,conversational,natural-language-processing
espnet/Karthik_DSTC2_asr_train_asr_wav2vec_transformer,https://huggingface.co/espnet/Karthik_DSTC2_asr_train_asr_wav2vec_transformer,automatic-speech-recognition,audio
pyf98/librispeech_conformer,https://huggingface.co/pyf98/librispeech_conformer,automatic-speech-recognition,audio
pyf98/librispeech_conformer_layerdrop0.1_last6,https://huggingface.co/pyf98/librispeech_conformer_layerdrop0.1_last6,automatic-speech-recognition,audio
SerdarHelli/Segmentation-of-Teeth-in-Panoramic-X-ray-Image-Using-U-Net,https://huggingface.co/SerdarHelli/Segmentation-of-Teeth-in-Panoramic-X-ray-Image-Using-U-Net,image-segmentation,computer-vision
RTM/vilang,https://huggingface.co/RTM/vilang,conversational,natural-language-processing
tartuNLP/liv4ever-mt,https://huggingface.co/tartuNLP/liv4ever-mt,translation,natural-language-processing
Meowren/DialoGPT-small-Rick-Bot,https://huggingface.co/Meowren/DialoGPT-small-Rick-Bot,conversational,natural-language-processing
STSP/CT_Test,https://huggingface.co/STSP/CT_Test,image-classification,computer-vision
espnet/roshansh_asr_base_sp_conformer_swbd,https://huggingface.co/espnet/roshansh_asr_base_sp_conformer_swbd,automatic-speech-recognition,audio
STSP/whole_lung_classification,https://huggingface.co/STSP/whole_lung_classification,image-classification,computer-vision
pyf98/librispeech_conformer_hop_length160,https://huggingface.co/pyf98/librispeech_conformer_hop_length160,automatic-speech-recognition,audio
ThomasSimonini/MLAgents-Pyramids,https://huggingface.co/ThomasSimonini/MLAgents-Pyramids,reinforcement-learning,reinforcement-learning
nandezgarcia/distilbert-base-uncased-finetuned-squad-d5716d28,https://huggingface.co/nandezgarcia/distilbert-base-uncased-finetuned-squad-d5716d28,question-answering,natural-language-processing
filipsedivy/open-nfsw,https://huggingface.co/filipsedivy/open-nfsw,image-classification,computer-vision
IIC/beto-base-spanish-squades,https://huggingface.co/IIC/beto-base-spanish-squades,question-answering,natural-language-processing
TestSB3/ppo-CartPole-v1,https://huggingface.co/TestSB3/ppo-CartPole-v1,reinforcement-learning,reinforcement-learning
espnet/ml_openslr63,https://huggingface.co/espnet/ml_openslr63,automatic-speech-recognition,audio
espnet/ftshijt_espnet2_asr_dsing_transformer,https://huggingface.co/espnet/ftshijt_espnet2_asr_dsing_transformer,automatic-speech-recognition,audio
espnet/ftshijt_espnet2_asr_dsing_hubert_conformer,https://huggingface.co/espnet/ftshijt_espnet2_asr_dsing_hubert_conformer,automatic-speech-recognition,audio
espnet/MInDS-14_es-ES,https://huggingface.co/espnet/MInDS-14_es-ES,automatic-speech-recognition,audio
espnet/aaf_openslr57,https://huggingface.co/espnet/aaf_openslr57,automatic-speech-recognition,audio
lichenda/chime4_fasnet_dprnn_tac,https://huggingface.co/lichenda/chime4_fasnet_dprnn_tac,audio-to-audio,audio
espnet/marathi_openslr64,https://huggingface.co/espnet/marathi_openslr64,automatic-speech-recognition,audio
espnet/YushiUeda_iemocap_sentiment_asr_train_asr_conformer_wav2vec2_2,https://huggingface.co/espnet/YushiUeda_iemocap_sentiment_asr_train_asr_conformer_wav2vec2_2,automatic-speech-recognition,audio
espnet/bn_openslr53,https://huggingface.co/espnet/bn_openslr53,automatic-speech-recognition,audio
duanxingjuan/DialoGPT-large-DEMON_SLAYER_v1,https://huggingface.co/duanxingjuan/DialoGPT-large-DEMON_SLAYER_v1,conversational,natural-language-processing
duanxingjuan/DialoGPT-large-DEMON,https://huggingface.co/duanxingjuan/DialoGPT-large-DEMON,conversational,natural-language-processing
espnet/YushiUeda_swbd_sentiment_asr_train_asr_conformer_wav2vec2_2,https://huggingface.co/espnet/YushiUeda_swbd_sentiment_asr_train_asr_conformer_wav2vec2_2,automatic-speech-recognition,audio
espnet/mediaspeech-fr-hubert,https://huggingface.co/espnet/mediaspeech-fr-hubert,automatic-speech-recognition,audio
huggan/dcgan-mnist,https://huggingface.co/huggan/dcgan-mnist,text-to-image,multimodal
zuppif/dummy,https://huggingface.co/zuppif/dummy,image-classification,computer-vision
browndw/en_docusco_spacy,https://huggingface.co/browndw/en_docusco_spacy,token-classification,natural-language-processing
espnet/chai_microsoft_indian_langs_te,https://huggingface.co/espnet/chai_microsoft_indian_langs_te,automatic-speech-recognition,audio
espnet/russian_commonvoice_blstm,https://huggingface.co/espnet/russian_commonvoice_blstm,automatic-speech-recognition,audio
espnet/Karthik_DSTC2_asr_train_asr_wav2vec_conformer_2,https://huggingface.co/espnet/Karthik_DSTC2_asr_train_asr_wav2vec_conformer_2,automatic-speech-recognition,audio
optimum/distilbert-base-uncased-finetuned-sst-2-english,https://huggingface.co/optimum/distilbert-base-uncased-finetuned-sst-2-english,text-classification,natural-language-processing
optimum/roberta-base-squad2,https://huggingface.co/optimum/roberta-base-squad2,question-answering,natural-language-processing
optimum/bert-base-NER,https://huggingface.co/optimum/bert-base-NER,token-classification,natural-language-processing
optimum/all-MiniLM-L6-v2,https://huggingface.co/optimum/all-MiniLM-L6-v2,sentence-similarity,natural-language-processing
optimum/distilbert-base-uncased-mnli,https://huggingface.co/optimum/distilbert-base-uncased-mnli,zero-shot-classification,natural-language-processing
espnet/chai_librispeech_asr_train_rnnt_conformer_raw_en_bpe5000_sp,https://huggingface.co/espnet/chai_librispeech_asr_train_rnnt_conformer_raw_en_bpe5000_sp,automatic-speech-recognition,audio
hamedkhaledi/persain-flair-upos,https://huggingface.co/hamedkhaledi/persain-flair-upos,token-classification,natural-language-processing
fishfl/newClassfiyModel,https://huggingface.co/fishfl/newClassfiyModel,translation,natural-language-processing
hamedkhaledi/persain-flair-ner,https://huggingface.co/hamedkhaledi/persain-flair-ner,token-classification,natural-language-processing
tartuNLP/mtee-general,https://huggingface.co/tartuNLP/mtee-general,translation,natural-language-processing
tartuNLP/septilang,https://huggingface.co/tartuNLP/septilang,translation,natural-language-processing
mideind/tokenizer-mbart-25-enis,https://huggingface.co/mideind/tokenizer-mbart-25-enis,translation,natural-language-processing
regel-corpus/hunflair-enhancer,https://huggingface.co/regel-corpus/hunflair-enhancer,token-classification,natural-language-processing
regel-corpus/hunflair-promoter,https://huggingface.co/regel-corpus/hunflair-promoter,token-classification,natural-language-processing
regel-corpus/hunflair-tfbs,https://huggingface.co/regel-corpus/hunflair-tfbs,token-classification,natural-language-processing
lirondos/anglicisms-spanish-flair-cs,https://huggingface.co/lirondos/anglicisms-spanish-flair-cs,token-classification,natural-language-processing
jfreiwa/asr-crdnn-german,https://huggingface.co/jfreiwa/asr-crdnn-german,automatic-speech-recognition,audio
tartuNLP/mtee-legal,https://huggingface.co/tartuNLP/mtee-legal,translation,natural-language-processing
tartuNLP/mtee-crisis,https://huggingface.co/tartuNLP/mtee-crisis,translation,natural-language-processing
tartuNLP/mtee-military,https://huggingface.co/tartuNLP/mtee-military,translation,natural-language-processing
anisdismail/celebA-orientation-detection,https://huggingface.co/anisdismail/celebA-orientation-detection,image-classification,computer-vision
bullmount/it_nerIta_trf,https://huggingface.co/bullmount/it_nerIta_trf,token-classification,natural-language-processing
huspacy/hu_core_news_trf,https://huggingface.co/huspacy/hu_core_news_trf,token-classification,natural-language-processing
hackathon-pln-es/es_tweets_laboral,https://huggingface.co/hackathon-pln-es/es_tweets_laboral,text-classification,natural-language-processing
asimokby/fakeBert,https://huggingface.co/asimokby/fakeBert,text-classification,natural-language-processing
Awais/Audio_Source_Separation,https://huggingface.co/Awais/Audio_Source_Separation,audio-to-audio,audio
AlekseyKorshuk/tic-tac-toe,https://huggingface.co/AlekseyKorshuk/tic-tac-toe,reinforcement-learning,reinforcement-learning
hackathon-pln-es/unam_tesis_BETO_finnetuning,https://huggingface.co/hackathon-pln-es/unam_tesis_BETO_finnetuning,text-classification,natural-language-processing
drab/distribution-equipment-belgium,https://huggingface.co/drab/distribution-equipment-belgium,object-detection,computer-vision
Ozi/Upsidedown_street_classifier,https://huggingface.co/Ozi/Upsidedown_street_classifier,image-classification,computer-vision
espnet/german_commonvoice_blstm,https://huggingface.co/espnet/german_commonvoice_blstm,automatic-speech-recognition,audio
ukr-models/uk_core_news_trf,https://huggingface.co/ukr-models/uk_core_news_trf,token-classification,natural-language-processing
akiyamasho/AnimeBackgroundGAN-Shinkai,https://huggingface.co/akiyamasho/AnimeBackgroundGAN-Shinkai,image-to-image,computer-vision
akiyamasho/AnimeBackgroundGAN-Hosoda,https://huggingface.co/akiyamasho/AnimeBackgroundGAN-Hosoda,image-to-image,computer-vision
akiyamasho/AnimeBackgroundGAN-Miyazaki,https://huggingface.co/akiyamasho/AnimeBackgroundGAN-Miyazaki,image-to-image,computer-vision
akiyamasho/AnimeBackgroundGAN-Kon,https://huggingface.co/akiyamasho/AnimeBackgroundGAN-Kon,image-to-image,computer-vision
imessam/OrientationClassifier,https://huggingface.co/imessam/OrientationClassifier,image-classification,computer-vision
gwang-kim/DiffusionCLIP-CelebA_HQ,https://huggingface.co/gwang-kim/DiffusionCLIP-CelebA_HQ,image-to-image,computer-vision
gwang-kim/DiffusionCLIP-LSUN_Bedroom,https://huggingface.co/gwang-kim/DiffusionCLIP-LSUN_Bedroom,image-to-image,computer-vision
wietsedv/tacotron2-gronings,https://huggingface.co/wietsedv/tacotron2-gronings,text-to-speech,audio
wietsedv/tacotron2-dutch,https://huggingface.co/wietsedv/tacotron2-dutch,text-to-speech,audio
ID56/FF-Vision-CIFAR,https://huggingface.co/ID56/FF-Vision-CIFAR,image-classification,computer-vision
amrezo/en_pipeline,https://huggingface.co/amrezo/en_pipeline,token-classification,natural-language-processing
numbpy/flip_detector,https://huggingface.co/numbpy/flip_detector,image-classification,computer-vision
NUTELEX/Eva,https://huggingface.co/NUTELEX/Eva,conversational,natural-language-processing
osanseviero/TEST_VM_ppo-SpaceInvadersNoFrameskip-v43,https://huggingface.co/osanseviero/TEST_VM_ppo-SpaceInvadersNoFrameskip-v43,reinforcement-learning,reinforcement-learning
ThomasSimonini/test-video,https://huggingface.co/ThomasSimonini/test-video,reinforcement-learning,reinforcement-learning
huggan/crypto-gan,https://huggingface.co/huggan/crypto-gan,unconditional-image-generation,computer-vision
nateraw/some-timm-model,https://huggingface.co/nateraw/some-timm-model,image-classification,computer-vision
nvidia/stt_en_conformer_ctc_large,https://huggingface.co/nvidia/stt_en_conformer_ctc_large,automatic-speech-recognition,audio
TrabajoAprendizajeProfundo/Trabajo,https://huggingface.co/TrabajoAprendizajeProfundo/Trabajo,reinforcement-learning,reinforcement-learning
huggan/fastgan-few-shot-fauvism-still-life,https://huggingface.co/huggan/fastgan-few-shot-fauvism-still-life,unconditional-image-generation,computer-vision
huggan/fastgan-few-shot-painting,https://huggingface.co/huggan/fastgan-few-shot-painting,unconditional-image-generation,computer-vision
huggan/fastgan-few-shot-shells,https://huggingface.co/huggan/fastgan-few-shot-shells,unconditional-image-generation,computer-vision
espnet/Wangyou_Zhang_chime4_enh_train_enh_dc_crn_mapping_snr_raw,https://huggingface.co/espnet/Wangyou_Zhang_chime4_enh_train_enh_dc_crn_mapping_snr_raw,audio-to-audio,audio
lichenda/Chenda_Li_wsj0_2mix_enh_dprnn_tasnet,https://huggingface.co/lichenda/Chenda_Li_wsj0_2mix_enh_dprnn_tasnet,audio-to-audio,audio
espnet/Wangyou_Zhang_chime4_enh_train_enh_conv_tasnet_raw,https://huggingface.co/espnet/Wangyou_Zhang_chime4_enh_train_enh_conv_tasnet_raw,audio-to-audio,audio
espnet/Wangyou_Zhang_wsj0_2mix_enh_dc_crn_mapping_snr_raw,https://huggingface.co/espnet/Wangyou_Zhang_wsj0_2mix_enh_dc_crn_mapping_snr_raw,audio-to-audio,audio
multimodalart/compvis-latent-diffusion-text2img-large,https://huggingface.co/multimodalart/compvis-latent-diffusion-text2img-large,text-to-image,multimodal
huggingnft/cryptopunks__2__bored-apes-yacht-club,https://huggingface.co/huggingnft/cryptopunks__2__bored-apes-yacht-club,image-to-image,computer-vision
huggan/sim2real_cyclegan,https://huggingface.co/huggan/sim2real_cyclegan,image-to-image,computer-vision
sentence-transformers/clip-ViT-L-14,https://huggingface.co/sentence-transformers/clip-ViT-L-14,sentence-similarity,natural-language-processing
sentence-transformers/clip-ViT-B-16,https://huggingface.co/sentence-transformers/clip-ViT-B-16,sentence-similarity,natural-language-processing
huggan/fastgan-few-shot-aurora,https://huggingface.co/huggan/fastgan-few-shot-aurora,unconditional-image-generation,computer-vision
ThomasSimonini/TEST_COLAB_ppo-SpaceInvadersNoFrameskip-v4,https://huggingface.co/ThomasSimonini/TEST_COLAB_ppo-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
huggingnft/cyberkongz,https://huggingface.co/huggingnft/cyberkongz,unconditional-image-generation,computer-vision
popcornell/clarity21_train_enh_beamformer_mvdr,https://huggingface.co/popcornell/clarity21_train_enh_beamformer_mvdr,audio-to-audio,audio
huggingnft/mini-mutants,https://huggingface.co/huggingnft/mini-mutants,unconditional-image-generation,computer-vision
huggingnft/nftrex,https://huggingface.co/huggingnft/nftrex,unconditional-image-generation,computer-vision
huggingnft/dooggies,https://huggingface.co/huggingnft/dooggies,unconditional-image-generation,computer-vision
huggingnft/cryptopunks,https://huggingface.co/huggingnft/cryptopunks,unconditional-image-generation,computer-vision
huggan/projected_gan_color_field,https://huggingface.co/huggan/projected_gan_color_field,unconditional-image-generation,computer-vision
huggan/projected_gan_popart,https://huggingface.co/huggan/projected_gan_popart,unconditional-image-generation,computer-vision
huggan/projected_gan_abstract_expressionism,https://huggingface.co/huggan/projected_gan_abstract_expressionism,unconditional-image-generation,computer-vision
wgb14/icefall-asr-gigaspeech-conformer-ctc,https://huggingface.co/wgb14/icefall-asr-gigaspeech-conformer-ctc,automatic-speech-recognition,audio
huggingnft/trippytoadznft,https://huggingface.co/huggingnft/trippytoadznft,unconditional-image-generation,computer-vision
huggingnft/etherbears,https://huggingface.co/huggingnft/etherbears,unconditional-image-generation,computer-vision
Felix92/doctr-dummy-torch-crnn-vgg16-bn,https://huggingface.co/Felix92/doctr-dummy-torch-crnn-vgg16-bn,image-to-text,multimodal
Felix92/doctr-dummy-torch-crnn-mobilenet-v3-small,https://huggingface.co/Felix92/doctr-dummy-torch-crnn-mobilenet-v3-small,image-to-text,multimodal
ceyda/butterfly_cropped_uniq1K_512,https://huggingface.co/ceyda/butterfly_cropped_uniq1K_512,unconditional-image-generation,computer-vision
huggingnft/hapeprime,https://huggingface.co/huggingnft/hapeprime,unconditional-image-generation,computer-vision
Felix92/doctr-dummy-tf-crnn-vgg16-bn,https://huggingface.co/Felix92/doctr-dummy-tf-crnn-vgg16-bn,image-to-text,multimodal
Felix92/doctr-dummy-tf-crnn-mobilenet-v3-large,https://huggingface.co/Felix92/doctr-dummy-tf-crnn-mobilenet-v3-large,image-to-text,multimodal
Zhaoheng/svoice_wsj0_2mix,https://huggingface.co/Zhaoheng/svoice_wsj0_2mix,audio-to-audio,audio
huggingnft/cryptoskulls,https://huggingface.co/huggingnft/cryptoskulls,unconditional-image-generation,computer-vision
huggan/ArtGAN,https://huggingface.co/huggan/ArtGAN,unconditional-image-generation,computer-vision
huggingnft/alpacadabraz,https://huggingface.co/huggingnft/alpacadabraz,unconditional-image-generation,computer-vision
huggan/projected_gan_Hana_Hanak,https://huggingface.co/huggan/projected_gan_Hana_Hanak,unconditional-image-generation,computer-vision
huggan/projected_gan_color_field_hana,https://huggingface.co/huggan/projected_gan_color_field_hana,unconditional-image-generation,computer-vision
huggan/projected_gan_abstract_expressionism_hana,https://huggingface.co/huggan/projected_gan_abstract_expressionism_hana,unconditional-image-generation,computer-vision
huggan/fastgan-few-shot-anime-face,https://huggingface.co/huggan/fastgan-few-shot-anime-face,unconditional-image-generation,computer-vision
huggan/fastgan-few-shot-moongate,https://huggingface.co/huggan/fastgan-few-shot-moongate,unconditional-image-generation,computer-vision
huggingnft/boredapeyachtclub__2__mutant-ape-yacht-club,https://huggingface.co/huggingnft/boredapeyachtclub__2__mutant-ape-yacht-club,image-to-image,computer-vision
huggingnft/mini-mutants__2__boredapeyachtclub,https://huggingface.co/huggingnft/mini-mutants__2__boredapeyachtclub,image-to-image,computer-vision
huggingnft/cryptoadz-by-gremplin,https://huggingface.co/huggingnft/cryptoadz-by-gremplin,unconditional-image-generation,computer-vision
ChainYo/DocuGAN,https://huggingface.co/ChainYo/DocuGAN,unconditional-image-generation,computer-vision
huggan/fastgan-few-shot-universe,https://huggingface.co/huggan/fastgan-few-shot-universe,unconditional-image-generation,computer-vision
huggan/fastgan-few-shot-grumpy-cat,https://huggingface.co/huggan/fastgan-few-shot-grumpy-cat,unconditional-image-generation,computer-vision
huggingnft/theshiboshis,https://huggingface.co/huggingnft/theshiboshis,unconditional-image-generation,computer-vision
huggingnft/boredapeyachtclub,https://huggingface.co/huggingnft/boredapeyachtclub,unconditional-image-generation,computer-vision
huggingnft/azuki,https://huggingface.co/huggingnft/azuki,unconditional-image-generation,computer-vision
huggan/projected_gan_cubism,https://huggingface.co/huggan/projected_gan_cubism,unconditional-image-generation,computer-vision
huggan/projected_gan_pop_art_hana,https://huggingface.co/huggan/projected_gan_pop_art_hana,unconditional-image-generation,computer-vision
NDugar/horse_to_zebra_cycle_GAN,https://huggingface.co/NDugar/horse_to_zebra_cycle_GAN,image-to-image,computer-vision
espnet/accented_french_openslr57_ASR_transformer,https://huggingface.co/espnet/accented_french_openslr57_ASR_transformer,automatic-speech-recognition,audio
huggan/distill-ccld-wa,https://huggingface.co/huggan/distill-ccld-wa,text-to-image,multimodal
fastai/fastbook_02_bears_classifier,https://huggingface.co/fastai/fastbook_02_bears_classifier,image-classification,computer-vision
huggan/pggan-celebahq-1024,https://huggingface.co/huggan/pggan-celebahq-1024,unconditional-image-generation,computer-vision
huggan/stylegan_animeface512,https://huggingface.co/huggan/stylegan_animeface512,unconditional-image-generation,computer-vision
ThomasSimonini/first3DBallRun4,https://huggingface.co/ThomasSimonini/first3DBallRun4,reinforcement-learning,reinforcement-learning
huggan/stylegan_car512,https://huggingface.co/huggan/stylegan_car512,unconditional-image-generation,computer-vision
huggan/stylegan_cat256,https://huggingface.co/huggan/stylegan_cat256,unconditional-image-generation,computer-vision
ThomasSimonini/Ball,https://huggingface.co/ThomasSimonini/Ball,reinforcement-learning,reinforcement-learning
espnet/GunnarThor_talromur_a_tacotron2,https://huggingface.co/espnet/GunnarThor_talromur_a_tacotron2,text-to-speech,audio
espnet/GunnarThor_talromur_a_fastspeech2,https://huggingface.co/espnet/GunnarThor_talromur_a_fastspeech2,text-to-speech,audio
espnet/GunnarThor_talromur_e_fastspeech2,https://huggingface.co/espnet/GunnarThor_talromur_e_fastspeech2,text-to-speech,audio
espnet/GunnarThor_talromur_e_tacotron2,https://huggingface.co/espnet/GunnarThor_talromur_e_tacotron2,text-to-speech,audio
espnet/GunnarThor_talromur_f_tacotron2,https://huggingface.co/espnet/GunnarThor_talromur_f_tacotron2,text-to-speech,audio
espnet/GunnarThor_talromur_f_fastspeech2,https://huggingface.co/espnet/GunnarThor_talromur_f_fastspeech2,text-to-speech,audio
osanseviero/Ball_test,https://huggingface.co/osanseviero/Ball_test,reinforcement-learning,reinforcement-learning
osanseviero/TEST_COLAB_ppo-SpaceInvadersNoFrameskip-v4,https://huggingface.co/osanseviero/TEST_COLAB_ppo-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
espnet/GunnarThor_talromur_b_fastspeech2,https://huggingface.co/espnet/GunnarThor_talromur_b_fastspeech2,text-to-speech,audio
espnet/GunnarThor_talromur_b_tacotron2,https://huggingface.co/espnet/GunnarThor_talromur_b_tacotron2,text-to-speech,audio
espnet/GunnarThor_talromur_c_fastspeech2,https://huggingface.co/espnet/GunnarThor_talromur_c_fastspeech2,text-to-speech,audio
espnet/GunnarThor_talromur_c_tacotron2,https://huggingface.co/espnet/GunnarThor_talromur_c_tacotron2,text-to-speech,audio
jakewillms17/capcake-model,https://huggingface.co/jakewillms17/capcake-model,conversational,natural-language-processing
bookbot/id-g2p-lstm,https://huggingface.co/bookbot/id-g2p-lstm,text2text-generation,natural-language-processing
ThomasSimonini/Huggy_test,https://huggingface.co/ThomasSimonini/Huggy_test,reinforcement-learning,reinforcement-learning
ThomasSimonini/ppo-Huggy,https://huggingface.co/ThomasSimonini/ppo-Huggy,reinforcement-learning,reinforcement-learning
espnet/GunnarThor_talromur_d_tacotron2,https://huggingface.co/espnet/GunnarThor_talromur_d_tacotron2,text-to-speech,audio
espnet/GunnarThor_talromur_d_fastspeech2,https://huggingface.co/espnet/GunnarThor_talromur_d_fastspeech2,text-to-speech,audio
espnet/GunnarThor_talromur_g_tacotron2,https://huggingface.co/espnet/GunnarThor_talromur_g_tacotron2,text-to-speech,audio
espnet/GunnarThor_talromur_g_fastspeech2,https://huggingface.co/espnet/GunnarThor_talromur_g_fastspeech2,text-to-speech,audio
espnet/GunnarThor_talromur_h_tacotron2,https://huggingface.co/espnet/GunnarThor_talromur_h_tacotron2,text-to-speech,audio
espnet/GunnarThor_talromur_h_fastspeech2,https://huggingface.co/espnet/GunnarThor_talromur_h_fastspeech2,text-to-speech,audio
tsantosh7/en_BiomedNER_EuropePMC,https://huggingface.co/tsantosh7/en_BiomedNER_EuropePMC,token-classification,natural-language-processing
