model_name,model_url,model_task,model_category,readme_path
groadabike/ConvTasNet_DAMPVSEP_EnglishNonEnglish_baseline,https://huggingface.co/groadabike/ConvTasNet_DAMPVSEP_EnglishNonEnglish_baseline,audio-to-audio,audio,./model_cards/_noArch/groadabike_ConvTasNet_DAMPVSEP_EnglishNonEnglish_baseline_README.md
hackertec9/test,https://huggingface.co/hackertec9/test,text-classification,natural-language-processing,./model_cards/_noArch/hackertec9_test_README.md
hfl/chinese-electra-small-ex-generator,https://huggingface.co/hfl/chinese-electra-small-ex-generator,fill-mask,natural-language-processing,./model_cards/_noArch/hfl_chinese-electra-small-ex-generator_README.md
hiroshi-matsuda-rit/ja_gsd_bert_wwm_unidic_lite,https://huggingface.co/hiroshi-matsuda-rit/ja_gsd_bert_wwm_unidic_lite,token-classification,natural-language-processing,./model_cards/_noArch/hiroshi-matsuda-rit_ja_gsd_bert_wwm_unidic_lite_README.md
huspacy/hu_core_news_lg,https://huggingface.co/huspacy/hu_core_news_lg,token-classification,natural-language-processing,./model_cards/_noArch/huspacy_hu_core_news_lg_README.md
inovex/multi2convai-corona-de-logreg-ft,https://huggingface.co/inovex/multi2convai-corona-de-logreg-ft,text-classification,natural-language-processing,./model_cards/_noArch/inovex_multi2convai-corona-de-logreg-ft_README.md
inovex/multi2convai-corona-en-logreg-ft,https://huggingface.co/inovex/multi2convai-corona-en-logreg-ft,text-classification,natural-language-processing,./model_cards/_noArch/inovex_multi2convai-corona-en-logreg-ft_README.md
inovex/multi2convai-logistics-de-logreg-ft,https://huggingface.co/inovex/multi2convai-logistics-de-logreg-ft,text-classification,natural-language-processing,./model_cards/_noArch/inovex_multi2convai-logistics-de-logreg-ft_README.md
inovex/multi2convai-logistics-en-logreg-ft,https://huggingface.co/inovex/multi2convai-logistics-en-logreg-ft,text-classification,natural-language-processing,./model_cards/_noArch/inovex_multi2convai-logistics-en-logreg-ft_README.md
inovex/multi2convai-quality-de-logreg-ft,https://huggingface.co/inovex/multi2convai-quality-de-logreg-ft,text-classification,natural-language-processing,./model_cards/_noArch/inovex_multi2convai-quality-de-logreg-ft_README.md
inovex/multi2convai-quality-en-logreg-ft,https://huggingface.co/inovex/multi2convai-quality-en-logreg-ft,text-classification,natural-language-processing,./model_cards/_noArch/inovex_multi2convai-quality-en-logreg-ft_README.md
inovex/multi2convai-quality-fr-logreg-ft,https://huggingface.co/inovex/multi2convai-quality-fr-logreg-ft,text-classification,natural-language-processing,./model_cards/_noArch/inovex_multi2convai-quality-fr-logreg-ft_README.md
inovex/multi2convai-quality-it-logreg-ft,https://huggingface.co/inovex/multi2convai-quality-it-logreg-ft,text-classification,natural-language-processing,./model_cards/_noArch/inovex_multi2convai-quality-it-logreg-ft_README.md
myynirew/DialoGPT-medium-ettengiv,https://huggingface.co/myynirew/DialoGPT-medium-ettengiv,conversational,natural-language-processing,./model_cards/_noArch/myynirew_DialoGPT-medium-ettengiv_README.md
jglaser/protein-ligand-mlp-1,https://huggingface.co/jglaser/protein-ligand-mlp-1,sentence-similarity,natural-language-processing,./model_cards/_noArch/jglaser_protein-ligand-mlp-1_README.md
jglaser/protein-ligand-mlp-2,https://huggingface.co/jglaser/protein-ligand-mlp-2,sentence-similarity,natural-language-processing,./model_cards/_noArch/jglaser_protein-ligand-mlp-2_README.md
jglaser/protein-ligand-mlp-3,https://huggingface.co/jglaser/protein-ligand-mlp-3,sentence-similarity,natural-language-processing,./model_cards/_noArch/jglaser_protein-ligand-mlp-3_README.md
jkang/espnet2_an4_asr,https://huggingface.co/jkang/espnet2_an4_asr,automatic-speech-recognition,audio,./model_cards/_noArch/jkang_espnet2_an4_asr_README.md
jkang/espnet2_librispeech_100_conformer,https://huggingface.co/jkang/espnet2_librispeech_100_conformer,automatic-speech-recognition,audio,./model_cards/_noArch/jkang_espnet2_librispeech_100_conformer_README.md
jkang/espnet2_librispeech_100_conformer_char,https://huggingface.co/jkang/espnet2_librispeech_100_conformer_char,automatic-speech-recognition,audio,./model_cards/_noArch/jkang_espnet2_librispeech_100_conformer_char_README.md
jkang/espnet2_librispeech_100_conformer_word,https://huggingface.co/jkang/espnet2_librispeech_100_conformer_word,automatic-speech-recognition,audio,./model_cards/_noArch/jkang_espnet2_librispeech_100_conformer_word_README.md
joaoalvarenga/wav2vec2-large-xlsr-53-spanish,https://huggingface.co/joaoalvarenga/wav2vec2-large-xlsr-53-spanish,automatic-speech-recognition,audio,./model_cards/_noArch/joaoalvarenga_wav2vec2-large-xlsr-53-spanish_README.md
joyebright/Top1-with-without-mixing,https://huggingface.co/joyebright/Top1-with-without-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top1-with-without-mixing_README.md
joyebright/Top2-with-mixing,https://huggingface.co/joyebright/Top2-with-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top2-with-mixing_README.md
joyebright/Top2-without-mixing,https://huggingface.co/joyebright/Top2-without-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top2-without-mixing_README.md
joyebright/Top3-with-mixing,https://huggingface.co/joyebright/Top3-with-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top3-with-mixing_README.md
joyebright/Top3-without-mixing,https://huggingface.co/joyebright/Top3-without-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top3-without-mixing_README.md
joyebright/Top4-with-mixing,https://huggingface.co/joyebright/Top4-with-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top4-with-mixing_README.md
joyebright/Top4-without-mixing,https://huggingface.co/joyebright/Top4-without-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top4-without-mixing_README.md
joyebright/Top5-with-mixing,https://huggingface.co/joyebright/Top5-with-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top5-with-mixing_README.md
joyebright/Top5-without-mixing,https://huggingface.co/joyebright/Top5-without-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top5-without-mixing_README.md
joyebright/Top6-with-mixing,https://huggingface.co/joyebright/Top6-with-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top6-with-mixing_README.md
joyebright/Top6-without-mixing,https://huggingface.co/joyebright/Top6-without-mixing,translation,natural-language-processing,./model_cards/_noArch/joyebright_Top6-without-mixing_README.md
julien-c/DPRNNTasNet-ks16_WHAM_sepclean,https://huggingface.co/julien-c/DPRNNTasNet-ks16_WHAM_sepclean,audio-to-audio,audio,./model_cards/_noArch/julien-c_DPRNNTasNet-ks16_WHAM_sepclean_README.md
julien-c/flair-de-ner,https://huggingface.co/julien-c/flair-de-ner,token-classification,natural-language-processing,./model_cards/_noArch/julien-c_flair-de-ner_README.md
julien-c/flair-ner,https://huggingface.co/julien-c/flair-ner,token-classification,natural-language-processing,./model_cards/_noArch/julien-c_flair-ner_README.md
julien-c/kan-bayashi-jsut_tts_train_tacotron2,https://huggingface.co/julien-c/kan-bayashi-jsut_tts_train_tacotron2,text-to-speech,audio,./model_cards/_noArch/julien-c_kan-bayashi-jsut_tts_train_tacotron2_README.md
julien-c/kan-bayashi-jsut_tts_train_tacotron2_ja,https://huggingface.co/julien-c/kan-bayashi-jsut_tts_train_tacotron2_ja,text-to-speech,audio,./model_cards/_noArch/julien-c_kan-bayashi-jsut_tts_train_tacotron2_ja_README.md
julien-c/kan-bayashi_csmsc_tacotron2,https://huggingface.co/julien-c/kan-bayashi_csmsc_tacotron2,text-to-speech,audio,./model_cards/_noArch/julien-c_kan-bayashi_csmsc_tacotron2_README.md
julien-c/ljspeech_tts_train_tacotron2_raw_phn_tacotron_g2p_en_no_space_train,https://huggingface.co/julien-c/ljspeech_tts_train_tacotron2_raw_phn_tacotron_g2p_en_no_space_train,text-to-speech,audio,./model_cards/_noArch/julien-c_ljspeech_tts_train_tacotron2_raw_phn_tacotron_g2p_en_no_space_train_README.md
julien-c/mini_an4_asr_train_raw_bpe_valid,https://huggingface.co/julien-c/mini_an4_asr_train_raw_bpe_valid,automatic-speech-recognition,audio,./model_cards/_noArch/julien-c_mini_an4_asr_train_raw_bpe_valid_README.md
julien-c/timm-dpn92,https://huggingface.co/julien-c/timm-dpn92,image-classification,computer-vision,./model_cards/_noArch/julien-c_timm-dpn92_README.md
julien-c/voice-activity-detection,https://huggingface.co/julien-c/voice-activity-detection,voice-activity-detection,audio,./model_cards/_noArch/julien-c_voice-activity-detection_README.md
julien-c/wine-quality,https://huggingface.co/julien-c/wine-quality,tabular-classification,tabular,./model_cards/_noArch/julien-c_wine-quality_README.md
keras-io/Image-Classification-using-EANet,https://huggingface.co/keras-io/Image-Classification-using-EANet,image-classification,computer-vision,./model_cards/_noArch/keras-io_Image-Classification-using-EANet_README.md
keras-io/TF_Decision_Trees,https://huggingface.co/keras-io/TF_Decision_Trees,tabular-classification,tabular,./model_cards/_noArch/keras-io_TF_Decision_Trees_README.md
keras-io/bidirectional-lstm-imdb,https://huggingface.co/keras-io/bidirectional-lstm-imdb,text-classification,natural-language-processing,./model_cards/_noArch/keras-io_bidirectional-lstm-imdb_README.md
keras-io/char-lstm-seq2seq,https://huggingface.co/keras-io/char-lstm-seq2seq,translation,natural-language-processing,./model_cards/_noArch/keras-io_char-lstm-seq2seq_README.md
keras-io/conditional-gan,https://huggingface.co/keras-io/conditional-gan,image-to-image,computer-vision,./model_cards/_noArch/keras-io_conditional-gan_README.md
keras-io/deeplabv3p-resnet50,https://huggingface.co/keras-io/deeplabv3p-resnet50,image-segmentation,computer-vision,./model_cards/_noArch/keras-io_deeplabv3p-resnet50_README.md
keras-io/image-captioning,https://huggingface.co/keras-io/image-captioning,image-to-text,multimodal,./model_cards/_noArch/keras-io_image-captioning_README.md
keras-io/low-light-image-enhancement,https://huggingface.co/keras-io/low-light-image-enhancement,image-to-image,computer-vision,./model_cards/_noArch/keras-io_low-light-image-enhancement_README.md
keras-io/lowlight-enhance-mirnet,https://huggingface.co/keras-io/lowlight-enhance-mirnet,image-to-image,computer-vision,./model_cards/_noArch/keras-io_lowlight-enhance-mirnet_README.md
keras-io/mobile-vit-xxs,https://huggingface.co/keras-io/mobile-vit-xxs,image-classification,computer-vision,./model_cards/_noArch/keras-io_mobile-vit-xxs_README.md
keras-io/monocular-depth-estimation,https://huggingface.co/keras-io/monocular-depth-estimation,image-segmentation,computer-vision,./model_cards/_noArch/keras-io_monocular-depth-estimation_README.md
keras-io/ocr-for-captcha,https://huggingface.co/keras-io/ocr-for-captcha,image-to-text,multimodal,./model_cards/_noArch/keras-io_ocr-for-captcha_README.md
keras-io/semantic-segmentation,https://huggingface.co/keras-io/semantic-segmentation,image-segmentation,computer-vision,./model_cards/_noArch/keras-io_semantic-segmentation_README.md
keras-io/semi-supervised-classification-simclr,https://huggingface.co/keras-io/semi-supervised-classification-simclr,image-classification,computer-vision,./model_cards/_noArch/keras-io_semi-supervised-classification-simclr_README.md
keras-io/super-resolution,https://huggingface.co/keras-io/super-resolution,image-to-image,computer-vision,./model_cards/_noArch/keras-io_super-resolution_README.md
keras-io/supervised-contrastive-learning-cifar10,https://huggingface.co/keras-io/supervised-contrastive-learning-cifar10,image-classification,computer-vision,./model_cards/_noArch/keras-io_supervised-contrastive-learning-cifar10_README.md
keras-io/swin-transformers,https://huggingface.co/keras-io/swin-transformers,image-classification,computer-vision,./model_cards/_noArch/keras-io_swin-transformers_README.md
keras-io/video-classification-cnn-rnn,https://huggingface.co/keras-io/video-classification-cnn-rnn,video-classification,computer-vision,./model_cards/_noArch/keras-io_video-classification-cnn-rnn_README.md
keras-io/vit-small-ds,https://huggingface.co/keras-io/vit-small-ds,image-classification,computer-vision,./model_cards/_noArch/keras-io_vit-small-ds_README.md
keras-io/vit_small_ds_v2,https://huggingface.co/keras-io/vit_small_ds_v2,image-classification,computer-vision,./model_cards/_noArch/keras-io_vit_small_ds_v2_README.md
kormilitzin/en_core_med7_lg,https://huggingface.co/kormilitzin/en_core_med7_lg,token-classification,natural-language-processing,./model_cards/_noArch/kormilitzin_en_core_med7_lg_README.md
kormilitzin/en_core_med7_trf,https://huggingface.co/kormilitzin/en_core_med7_trf,token-classification,natural-language-processing,./model_cards/_noArch/kormilitzin_en_core_med7_trf_README.md
l41n/c3rbs,https://huggingface.co/l41n/c3rbs,conversational,natural-language-processing,./model_cards/_noArch/l41n_c3rbs_README.md
lakahaga/novel_reading_tts,https://huggingface.co/lakahaga/novel_reading_tts,text-to-speech,audio,./model_cards/_noArch/lakahaga_novel_reading_tts_README.md
leo19941227/superb-s3prl-osanseviero__hubert_base-asr-c61a5cff,https://huggingface.co/leo19941227/superb-s3prl-osanseviero__hubert_base-asr-c61a5cff,automatic-speech-recognition,audio,./model_cards/_noArch/leo19941227_superb-s3prl-osanseviero__hubert_base-asr-c61a5cff_README.md
lewtun/distilbert-base-uncased-finetuned-squad-d5716d28,https://huggingface.co/lewtun/distilbert-base-uncased-finetuned-squad-d5716d28,question-answering,natural-language-processing,./model_cards/_noArch/lewtun_distilbert-base-uncased-finetuned-squad-d5716d28_README.md
lewtun/superb-s3prl-osanseviero__hubert_base-asr-50f7ee76,https://huggingface.co/lewtun/superb-s3prl-osanseviero__hubert_base-asr-50f7ee76,automatic-speech-recognition,audio,./model_cards/_noArch/lewtun_superb-s3prl-osanseviero__hubert_base-asr-50f7ee76_README.md
lewtun/superb-s3prl-osanseviero__hubert_base-asr-67be9268,https://huggingface.co/lewtun/superb-s3prl-osanseviero__hubert_base-asr-67be9268,automatic-speech-recognition,audio,./model_cards/_noArch/lewtun_superb-s3prl-osanseviero__hubert_base-asr-67be9268_README.md
lewtun/superb-s3prl-osanseviero__hubert_base-asr-700ddb7b,https://huggingface.co/lewtun/superb-s3prl-osanseviero__hubert_base-asr-700ddb7b,automatic-speech-recognition,audio,./model_cards/_noArch/lewtun_superb-s3prl-osanseviero__hubert_base-asr-700ddb7b_README.md
lewtun/superb-s3prl-osanseviero__hubert_base-asr-a03c2ae5,https://huggingface.co/lewtun/superb-s3prl-osanseviero__hubert_base-asr-a03c2ae5,automatic-speech-recognition,audio,./model_cards/_noArch/lewtun_superb-s3prl-osanseviero__hubert_base-asr-a03c2ae5_README.md
lewtun/superb-s3prl-osanseviero__hubert_base-asr-ca6de67e,https://huggingface.co/lewtun/superb-s3prl-osanseviero__hubert_base-asr-ca6de67e,automatic-speech-recognition,audio,./model_cards/_noArch/lewtun_superb-s3prl-osanseviero__hubert_base-asr-ca6de67e_README.md
lewtun/superb-s3prl-osanseviero__hubert_base-asr-cbcd177a,https://huggingface.co/lewtun/superb-s3prl-osanseviero__hubert_base-asr-cbcd177a,automatic-speech-recognition,audio,./model_cards/_noArch/lewtun_superb-s3prl-osanseviero__hubert_base-asr-cbcd177a_README.md
lewtun/superb-s3prl-osanseviero__hubert_base-asr,https://huggingface.co/lewtun/superb-s3prl-osanseviero__hubert_base-asr,automatic-speech-recognition,audio,./model_cards/_noArch/lewtun_superb-s3prl-osanseviero__hubert_base-asr_README.md
lewtun/superb-s3prl-superb-test-org__test-submission-with-weights-asr-ceaac01d,https://huggingface.co/lewtun/superb-s3prl-superb-test-org__test-submission-with-weights-asr-ceaac01d,automatic-speech-recognition,audio,./model_cards/_noArch/lewtun_superb-s3prl-superb-test-org__test-submission-with-weights-asr-ceaac01d_README.md
lewtun/superb-s3prl-wav2vec2-asr,https://huggingface.co/lewtun/superb-s3prl-wav2vec2-asr,automatic-speech-recognition,audio,./model_cards/_noArch/lewtun_superb-s3prl-wav2vec2-asr_README.md
lichenda/wsj0_2mix_skim_noncausal,https://huggingface.co/lichenda/wsj0_2mix_skim_noncausal,audio-to-audio,audio,./model_cards/_noArch/lichenda_wsj0_2mix_skim_noncausal_README.md
londogard/flair-swe-ner,https://huggingface.co/londogard/flair-swe-ner,token-classification,natural-language-processing,./model_cards/_noArch/londogard_flair-swe-ner_README.md
lysandre/bidaf-elmo-model-2020.03.19,https://huggingface.co/lysandre/bidaf-elmo-model-2020.03.19,question-answering,natural-language-processing,./model_cards/_noArch/lysandre_bidaf-elmo-model-2020.03.19_README.md
malloc/OpenNMT-py-English-German-Transformer,https://huggingface.co/malloc/OpenNMT-py-English-German-Transformer,translation,natural-language-processing,./model_cards/_noArch/malloc_OpenNMT-py-English-German-Transformer_README.md
malloc/OpenNMT-py-German-English-2-layer-BiLSTM,https://huggingface.co/malloc/OpenNMT-py-German-English-2-layer-BiLSTM,translation,natural-language-processing,./model_cards/_noArch/malloc_OpenNMT-py-German-English-2-layer-BiLSTM_README.md
mchochowski/test-model,https://huggingface.co/mchochowski/test-model,image-classification,computer-vision,./model_cards/_noArch/mchochowski_test-model_README.md
megagonlabs/bimeanvae-amzn,https://huggingface.co/megagonlabs/bimeanvae-amzn,summarization,natural-language-processing,./model_cards/_noArch/megagonlabs_bimeanvae-amzn_README.md
megagonlabs/bimeanvae-yelp,https://huggingface.co/megagonlabs/bimeanvae-yelp,summarization,natural-language-processing,./model_cards/_noArch/megagonlabs_bimeanvae-yelp_README.md
megagonlabs/optimus-amzn,https://huggingface.co/megagonlabs/optimus-amzn,summarization,natural-language-processing,./model_cards/_noArch/megagonlabs_optimus-amzn_README.md
megagonlabs/optimus-yelp,https://huggingface.co/megagonlabs/optimus-yelp,summarization,natural-language-processing,./model_cards/_noArch/megagonlabs_optimus-yelp_README.md
megantosh/flair-arabic-MSA-aqmar,https://huggingface.co/megantosh/flair-arabic-MSA-aqmar,token-classification,natural-language-processing,./model_cards/_noArch/megantosh_flair-arabic-MSA-aqmar_README.md
megantosh/flair-arabic-dialects-codeswitch-egy-lev,https://huggingface.co/megantosh/flair-arabic-dialects-codeswitch-egy-lev,token-classification,natural-language-processing,./model_cards/_noArch/megantosh_flair-arabic-dialects-codeswitch-egy-lev_README.md
megantosh/flair-arabic-multi-ner,https://huggingface.co/megantosh/flair-arabic-multi-ner,token-classification,natural-language-processing,./model_cards/_noArch/megantosh_flair-arabic-multi-ner_README.md
menciusds/flairmodel,https://huggingface.co/menciusds/flairmodel,token-classification,natural-language-processing,./model_cards/_noArch/menciusds_flairmodel_README.md
merve/deberta-small-mrpc,https://huggingface.co/merve/deberta-small-mrpc,text-classification,natural-language-processing,./model_cards/_noArch/merve_deberta-small-mrpc_README.md
merve/model-card-example,https://huggingface.co/merve/model-card-example,object-detection,computer-vision,./model_cards/_noArch/merve_model-card-example_README.md
mhu-coder/ConvTasNet_Libri1Mix_enhsingle,https://huggingface.co/mhu-coder/ConvTasNet_Libri1Mix_enhsingle,audio-to-audio,audio,./model_cards/_noArch/mhu-coder_ConvTasNet_Libri1Mix_enhsingle_README.md
mindee/fasterrcnn_mobilenet_v3_large_fpn,https://huggingface.co/mindee/fasterrcnn_mobilenet_v3_large_fpn,object-detection,computer-vision,./model_cards/_noArch/mindee_fasterrcnn_mobilenet_v3_large_fpn_README.md
mindspore-ai/LeNet,https://huggingface.co/mindspore-ai/LeNet,image-classification,computer-vision,./model_cards/_noArch/mindspore-ai_LeNet_README.md
miogfd1234/ll,https://huggingface.co/miogfd1234/ll,conversational,natural-language-processing,./model_cards/_noArch/miogfd1234_ll_README.md
mishig/test_regex_searchreplace,https://huggingface.co/mishig/test_regex_searchreplace,audio-classification,audio,./model_cards/_noArch/mishig_test_regex_searchreplace_README.md
mkmoisio/xlm-r-cross-lingual-english-finnish-sts,https://huggingface.co/mkmoisio/xlm-r-cross-lingual-english-finnish-sts,sentence-similarity,natural-language-processing,./model_cards/_noArch/mkmoisio_xlm-r-cross-lingual-english-finnish-sts_README.md
mpariente/ConvTasNet_WHAM_sepclean,https://huggingface.co/mpariente/ConvTasNet_WHAM_sepclean,audio-to-audio,audio,./model_cards/_noArch/mpariente_ConvTasNet_WHAM_sepclean_README.md
mpariente/DPRNNTasNet-ks2_WHAM_sepclean,https://huggingface.co/mpariente/DPRNNTasNet-ks2_WHAM_sepclean,audio-to-audio,audio,./model_cards/_noArch/mpariente_DPRNNTasNet-ks2_WHAM_sepclean_README.md
mrm8488/a2c-BreakoutNoFrameskip-v4,https://huggingface.co/mrm8488/a2c-BreakoutNoFrameskip-v4,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/mrm8488_a2c-BreakoutNoFrameskip-v4_README.md
mrm8488/a2c-Pong-v0,https://huggingface.co/mrm8488/a2c-Pong-v0,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/mrm8488_a2c-Pong-v0_README.md
mrm8488/a2c-PongNoFrameskip-v0,https://huggingface.co/mrm8488/a2c-PongNoFrameskip-v0,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/mrm8488_a2c-PongNoFrameskip-v0_README.md
mrm8488/ppo-BipedalWalker-v3,https://huggingface.co/mrm8488/ppo-BipedalWalker-v3,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/mrm8488_ppo-BipedalWalker-v3_README.md
mrm8488/ppo-CartPole-v1,https://huggingface.co/mrm8488/ppo-CartPole-v1,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/mrm8488_ppo-CartPole-v1_README.md
mrm8488/ppo-LunarLander-v2,https://huggingface.co/mrm8488/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/mrm8488_ppo-LunarLander-v2_README.md
msarmi9/multi30k,https://huggingface.co/msarmi9/multi30k,translation,natural-language-processing,./model_cards/_noArch/msarmi9_multi30k_README.md
nateraw/audio-test,https://huggingface.co/nateraw/audio-test,audio-to-audio,audio,./model_cards/_noArch/nateraw_audio-test_README.md
nateraw/audio-to-audio-test2,https://huggingface.co/nateraw/audio-to-audio-test2,audio-to-audio,audio,./model_cards/_noArch/nateraw_audio-to-audio-test2_README.md
nateraw/guesslang,https://huggingface.co/nateraw/guesslang,text-classification,natural-language-processing,./model_cards/_noArch/nateraw_guesslang_README.md
nateraw/keras-cats-vs-dogs,https://huggingface.co/nateraw/keras-cats-vs-dogs,image-classification,computer-vision,./model_cards/_noArch/nateraw_keras-cats-vs-dogs_README.md
nateraw/keras-mnist-convnet-demo,https://huggingface.co/nateraw/keras-mnist-convnet-demo,image-classification,computer-vision,./model_cards/_noArch/nateraw_keras-mnist-convnet-demo_README.md
nateraw/keras-mobilevit-xxs-flowers,https://huggingface.co/nateraw/keras-mobilevit-xxs-flowers,image-classification,computer-vision,./model_cards/_noArch/nateraw_keras-mobilevit-xxs-flowers_README.md
nateraw/my-cool-timm-model-2,https://huggingface.co/nateraw/my-cool-timm-model-2,image-classification,computer-vision,./model_cards/_noArch/nateraw_my-cool-timm-model-2_README.md
nateraw/my-cool-timm-model-3,https://huggingface.co/nateraw/my-cool-timm-model-3,image-classification,computer-vision,./model_cards/_noArch/nateraw_my-cool-timm-model-3_README.md
nateraw/my-cool-timm-model,https://huggingface.co/nateraw/my-cool-timm-model,image-classification,computer-vision,./model_cards/_noArch/nateraw_my-cool-timm-model_README.md
nateraw/quickdraw-model,https://huggingface.co/nateraw/quickdraw-model,image-classification,computer-vision,./model_cards/_noArch/nateraw_quickdraw-model_README.md
nateraw/resnet18-random-classifier-123,https://huggingface.co/nateraw/resnet18-random-classifier-123,image-classification,computer-vision,./model_cards/_noArch/nateraw_resnet18-random-classifier-123_README.md
nateraw/resnet50-beans-dummy-sagemaker,https://huggingface.co/nateraw/resnet50-beans-dummy-sagemaker,image-classification,computer-vision,./model_cards/_noArch/nateraw_resnet50-beans-dummy-sagemaker_README.md
nateraw/resnet50-oxford-iiit-pet,https://huggingface.co/nateraw/resnet50-oxford-iiit-pet,image-classification,computer-vision,./model_cards/_noArch/nateraw_resnet50-oxford-iiit-pet_README.md
nateraw/test-classifier-flash-2,https://huggingface.co/nateraw/test-classifier-flash-2,image-classification,computer-vision,./model_cards/_noArch/nateraw_test-classifier-flash-2_README.md
nateraw/text-classification-flash-demo-2,https://huggingface.co/nateraw/text-classification-flash-demo-2,text-classification,natural-language-processing,./model_cards/_noArch/nateraw_text-classification-flash-demo-2_README.md
nateraw/timm-adv_inception_v3,https://huggingface.co/nateraw/timm-adv_inception_v3,image-classification,computer-vision,./model_cards/_noArch/nateraw_timm-adv_inception_v3_README.md
nateraw/timm-resnet18-beans-test-2,https://huggingface.co/nateraw/timm-resnet18-beans-test-2,image-classification,computer-vision,./model_cards/_noArch/nateraw_timm-resnet18-beans-test-2_README.md
nateraw/timm-resnet18-beans-test,https://huggingface.co/nateraw/timm-resnet18-beans-test,image-classification,computer-vision,./model_cards/_noArch/nateraw_timm-resnet18-beans-test_README.md
nateraw/timm-resnet18-imagenette-160px-5-epochs,https://huggingface.co/nateraw/timm-resnet18-imagenette-160px-5-epochs,image-classification,computer-vision,./model_cards/_noArch/nateraw_timm-resnet18-imagenette-160px-5-epochs_README.md
nateraw/timm-resnet50-beans-copy,https://huggingface.co/nateraw/timm-resnet50-beans-copy,image-classification,computer-vision,./model_cards/_noArch/nateraw_timm-resnet50-beans-copy_README.md
nateraw/timm-resnet50-beans,https://huggingface.co/nateraw/timm-resnet50-beans,image-classification,computer-vision,./model_cards/_noArch/nateraw_timm-resnet50-beans_README.md
nates-test-org/cait_m48_448,https://huggingface.co/nates-test-org/cait_m48_448,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_cait_m48_448_README.md
nates-test-org/cait_s24_224,https://huggingface.co/nates-test-org/cait_s24_224,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_cait_s24_224_README.md
nates-test-org/cait_s24_384,https://huggingface.co/nates-test-org/cait_s24_384,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_cait_s24_384_README.md
nates-test-org/cait_s36_384,https://huggingface.co/nates-test-org/cait_s36_384,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_cait_s36_384_README.md
nates-test-org/cait_xs24_384,https://huggingface.co/nates-test-org/cait_xs24_384,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_cait_xs24_384_README.md
nates-test-org/cait_xxs24_224,https://huggingface.co/nates-test-org/cait_xxs24_224,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_cait_xxs24_224_README.md
nates-test-org/cait_xxs24_384,https://huggingface.co/nates-test-org/cait_xxs24_384,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_cait_xxs24_384_README.md
nates-test-org/cait_xxs36_224,https://huggingface.co/nates-test-org/cait_xxs36_224,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_cait_xxs36_224_README.md
nates-test-org/cait_xxs36_384,https://huggingface.co/nates-test-org/cait_xxs36_384,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_cait_xxs36_384_README.md
nates-test-org/coat_lite_mini,https://huggingface.co/nates-test-org/coat_lite_mini,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_coat_lite_mini_README.md
nates-test-org/coat_lite_small,https://huggingface.co/nates-test-org/coat_lite_small,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_coat_lite_small_README.md
nates-test-org/coat_lite_tiny,https://huggingface.co/nates-test-org/coat_lite_tiny,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_coat_lite_tiny_README.md
nates-test-org/coat_mini,https://huggingface.co/nates-test-org/coat_mini,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_coat_mini_README.md
nates-test-org/coat_tiny,https://huggingface.co/nates-test-org/coat_tiny,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_coat_tiny_README.md
nates-test-org/convit_base,https://huggingface.co/nates-test-org/convit_base,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_convit_base_README.md
nates-test-org/convit_small,https://huggingface.co/nates-test-org/convit_small,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_convit_small_README.md
nates-test-org/convit_tiny,https://huggingface.co/nates-test-org/convit_tiny,image-classification,computer-vision,./model_cards/_noArch/nates-test-org_convit_tiny_README.md
